channel_name,real_name,category,URL,channel_id,Twitter Handle,Platform,quality_of_scrape,flair,kind_of_channel
Bitcoin Events,Sonya Kuhnel,crypto,https://www.youtube.com/channel/UCni7PAlyNS0_12H-26DJJ3w,UCni7PAlyNS0_12H-26DJJ3w,@TopCryptoEvents,YouTube,dead scrape,,
Tom Heavey,Tom Heavey,crypto,https://www.youtube.com/c/TomHeaveyInvesting/featured,TomHeaveyInvesting,@TomHeavey_,YouTube,dead scrape,,
Aaron Bennett,Aaron Bennett,crypto,https://www.youtube.com/channel/UClligjElCFsLFBsN3ylishg/featured,UClligjElCFsLFBsN3ylishg,@_aaronbennett,YouTube,dead scrape,,
Forflies ,Dan Reeves,crypto,https://www.youtube.com/channel/UCVIOA9XqMtMUk8U-IF-dSYA,UCVIOA9XqMtMUk8U-IF-dSYA,,YouTube,dead scrape,,
ILCoin Cryptocurrency,,crypto,https://www.youtube.com/channel/UCUwnnpGppuh6O9VPXajM67Q,UCUwnnpGppuh6O9VPXajM67Q,@Ilcoin_B_P,YouTube,dead scrape,,
CoinsBank,Tatiana Rocheva,crypto,https://www.youtube.com/c/CoinsBank/featured,CoinsBank,@CoinsBank,YouTube,dead scrape,,
crypto Eri,Crypto Eri,crypto,https://www.youtube.com/channel/UCfcuwyq5HVvFvQS17OhQK8w,UCfcuwyq5HVvFvQS17OhQK8w,@sentosumosaba,YouTube,dead scrape,,
Crypto Bros,,crypto,https://www.youtube.com/channel/UCvOngsrt4gc9wemOGHCRRIg,UCvOngsrt4gc9wemOGHCRRIg,@CryptoBros,YouTube,dead scrape,,
Satoshi Stacker,,crypto,https://www.youtube.com/channel/UCGDjpwZV-bU-sLSnhInCfKQ,UCGDjpwZV-bU-sLSnhInCfKQ,@StackerSatoshi,YouTube,dead scrape,,
CryptoEmcee,Eugene Romanenko,crypto,https://www.youtube.com/c/CryptoEmCee/featured,CryptoEmCee,,YouTube,dead scrape,,
